"Diversions originally bound for CYHM, CYKF, CYOW, CYQB, CYQG, CYUL, CYXU, CYYB, CYYZ, KBUF, KCLE, KDTW, KPIT, KROC, KSYR"

"Exclude ASP|BBA|BLS|CMD|CNS|CSJ|CVR|CYO|DCM|EJA|ERY|FEX|GAJ|GPD|HRT|HYD|JBA|KAP|KUK|LBQ|LXJ|MMY|NDL|NDU|NVC|OPT|REH|RVJ|SFY|STY|SYN|TFF|TWY|VAL|VSL|WWI"

Fri Nov  1 04:20:02 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
SKW5066,1,2019-10-31 20:02:05-04,KCKB,KPIT,KORD,2019-10-31 20:11:51-04,,2019-10-31 20:24:01-04
UCA4997,1,2019-10-31 19:50:56-04,KDCA,KCLE,KCLE,2019-10-31 19:56:43-04,,2019-10-31 20:20:43-04
DAL431,2,2019-10-31 19:33:50-04,KDCA,KPIT,KDTW,2019-10-31 20:27:30-04,2019-11-01 01:33:35-04,2019-11-01 01:33:57-04
UAL1031,2,2019-10-31 20:37:46-04,KDCA,KPIT,KIAH,2019-10-31 20:43:49-04,2019-10-31 22:26:20-04,2019-10-31 22:26:37-04
AAL804,2,2019-10-31 20:18:20-04,KDCA,KPIT,KDFW,2019-10-31 20:48:03-04,2019-10-31 22:50:03-04,2019-10-31 22:50:24-04
ASA6,2,2019-10-31 21:10:03-04,KDCA,KPIT,KLAX,2019-10-31 21:14:56-04,2019-10-31 23:25:19-04,2019-10-31 23:25:34-04
AAL2557,2,2019-10-31 21:13:14-04,KDCA,KPIT,KLAS,2019-10-31 21:18:54-04,2019-10-31 23:14:34-04,2019-10-31 23:14:44-04
AAL2752,1,2019-10-31 23:10:06-04,KDCA,KPIT,KDFW,2019-10-31 23:44:58-04,,2019-11-01 00:13:25-04
ASA2,2,2019-10-31 23:41:30-04,KDCA,KPIT,KSEA,2019-10-31 23:52:49-04,2019-11-01 01:36:11-04,2019-11-01 01:36:28-04
DAL1776,2,2019-11-01 00:04:24-04,KDCA,KPIT,KMSP,2019-11-01 00:13:14-04,2019-11-01 01:17:55-04,2019-11-01 01:18:25-04
RPA3501,1,2019-10-31 21:15:31-04,KEWR,KPIT,KDTW,2019-10-31 21:48:10-04,,2019-10-31 22:00:22-04
UCA4940,1,2019-10-31 21:31:29-04,KEWR,KCLE,KMEM,2019-10-31 21:53:00-04,,2019-10-31 23:15:45-04
UAL1927,2,2019-10-31 22:13:58-04,KEWR,KPIT,KSNA,2019-10-31 22:01:51-04,2019-10-31 23:50:13-04,2019-10-31 23:50:23-04
UAL260,2,2019-10-31 20:38:23-04,KIAD,KPIT,KSEA,2019-10-31 21:09:15-04,2019-10-31 22:56:01-04,2019-10-31 22:56:22-04
UAL342,1,2019-10-31 20:41:39-04,KIAD,KCLE,KORD,2019-10-31 21:17:48-04,,2019-10-31 21:51:33-04
RPA3691,1,2019-10-31 21:21:10-04,KIAD,KPIT,KMCI,2019-10-31 21:25:52-04,,2019-10-31 21:38:01-04
UAL727,1,2019-10-31 20:55:42-04,KIAD,KCLE,KSFO,2019-10-31 21:26:22-04,,2019-10-31 21:51:36-04
FFT454,2,2019-10-31 21:00:01-04,KIAD,KPIT,KDEN,2019-10-31 21:45:47-04,2019-11-01 00:05:14-04,2019-11-01 00:05:23-04
SKW4291,2,2019-10-31 09:44:28-04,KIMT,KDTW,KDTW,2019-10-31 09:32:24-04,2019-10-31 11:43:48-04,2019-10-31 11:43:52-04
ENY3554,1,2019-10-31 01:10:49-04,KLEX,KCLE,KORD,2019-10-31 01:38:14-04,,2019-10-31 02:55:36-04
ENY3905,1,2019-10-31 21:05:14-04,KLGA,KCLE,KMEM,2019-10-31 21:35:06-04,,2019-10-31 21:56:28-04
RPA4700,1,2019-10-31 21:30:35-04,KLGA,KROC,KDTW,2019-10-31 21:36:30-04,,2019-10-31 21:57:54-04
SWA2323,1,2019-10-31 22:52:12-04,KLGA,KCLE,KDAL,2019-10-31 23:26:24-04,,2019-11-01 00:22:33-04
UAL1990,2,2019-10-31 21:24:57-04,KMDT,KPIT,KORD,2019-10-31 21:12:46-04,2019-10-31 23:10:55-04,2019-10-31 23:11:05-04
SWA2484,2,2019-10-31 23:11:52-04,KPHL,KPIT,KDEN,2019-10-31 23:58:08-04,2019-11-01 01:03:06-04,2019-11-01 01:03:19-04
(56 rows)

Differences between servers

orldc-dev-fused02:
,   orldc-prod-fused04:
,,<  AIE863
,,>  ACA499
,,>  ACA869
,,>  CJT574
,,>  CJT621
,,<  EDV5571
,,<  FDX1914
,,>  FDY336
,,<  MAL8095
,,<  POE459
,,<  POE938
,,<  POE941
,,<  RAG200
,,>  ROU1798
,,>  SKV7711
,,<  SWA1424
,,<  UAL1990
,,<  WSW675
,,>  WJA374
,,>  WJA584
,,>  WSW314
,   orldc-prod-fused06:
,,<  AIE863
,,<  EDV5571
,,<  FDX1914
,,<  MAL8095
,,<  POE459
,,<  POE938
,,<  POE941
,,<  RAG200

orldc-prod-fused04:
,   orldc-dev-fused02:
,,<  ACA499
,,<  ACA869
,,>  AIE863
,,<  CJT574
,,<  CJT621
,,>  EDV5571
,,<  FDY336
,,>  FDX1914
,,>  MAL8095
,,>  POE459
,,>  POE938
,,>  POE941
,,<  ROU1798
,,>  RAG200
,,<  SKV7711
,,>  SWA1424
,,>  UAL1990
,,<  WJA374
,,<  WJA584
,,<  WSW314
,,>  WSW675
,   orldc-prod-fused06:
,,<  ACA499
,,<  ACA869
,,<  CJT574
,,<  CJT621
,,<  FDY336
,,<  ROU1798
,,<  SKV7711
,,>  SWA1424
,,>  UAL1990
,,<  WJA374
,,<  WJA584
,,<  WSW314
,,>  WSW675

orldc-prod-fused06:
,   orldc-dev-fused02:
,,>  AIE863
,,>  EDV5571
,,>  FDX1914
,,>  MAL8095
,,>  POE459
,,>  POE938
,,>  POE941
,,>  RAG200
,   orldc-prod-fused04:
,,>  ACA499
,,>  ACA869
,,>  CJT574
,,>  CJT621
,,>  FDY336
,,>  ROU1798
,,>  SKV7711
,,<  SWA1424
,,<  UAL1990
,,<  WSW675
,,>  WJA374
,,>  WJA584
,,>  WSW314


Common diversions,Flightid
,AAL2557
,AAL2752
,AAL804
,ACA114
,ACA146
,ACA16
,ACA28
,ASA2
,ASA6
,ASH6196
,DAL1776
,DAL1975
,DAL431
,DLH453
,ENY3554
,ENY3905
,FFT454
,GTI3506
,JZA524
,JZA654
,JZA747
,JZA786
,JZA788
,JZA874
,JZA943
,NKS106
,NKS136
,PSC701
,RPA3501
,RPA3691
,RPA4700
,SKW4291
,SKW5066
,SWA1339
,SWA1351
,SWA1571
,SWA2323
,SWA2484
,SWA290
,SWA458
,SWA530
,SWG731
,SWG765
,TSC123
,UAL1031
,UAL1927
,UAL260
,UAL342
,UAL727
,UCA4940
,UCA4997
,WJA2627
,WJA2653

Uncommon diversions,Flightid
,ACA499
,ACA869
,AIE863
,CJT574
,CJT621
,EDV5571
,FDX1914
,FDY336
,MAL8095
,POE459
,POE938
,POE941
,RAG200
,ROU1798
,SKV7711
,SWA1424
,UAL1990
,WJA374
,WJA584
,WSW314
,WSW675

Fri Nov  1 04:20:02 EDT 2019
