"Diversions originally bound for KABI, KACT, KAUS, KCLL, KDAL, KDFW, KEFD, KELP, KGGG, KGRK, KHOU, KIAH, KLAW, KLBB, KLIT, KOKC, KSAT, KSHV, KSPS, KTUL, KTXK, KTYR"

Wed Oct 30 04:16:01 EDT 2019

orldc-dev-fused02:
flightid,status,diversion_time,orig_dest,asdi_dest,origin,on_time,off_time,rowtime
AAL2376,1,2019-10-29 14:23:23-04,KIAH,KHOU,KDFW,2019-10-29 14:50:15-04,,2019-10-29 15:02:45-04
ASH6186,2,2019-10-29 14:15:35-04,KIAH,KSHV,KJAX,2019-10-29 14:51:07-04,2019-10-29 18:11:37-04,2019-10-29 18:11:49-04
ASQ4046,2,2019-10-29 14:18:21-04,KIAH,KCRP,KCRP,2019-10-29 14:52:11-04,2019-10-29 16:03:17-04,2019-10-29 16:03:29-04
ASQ4337,1,2019-10-29 14:24:35-04,KIAH,KHOU,KSTL,2019-10-29 14:55:31-04,,2019-10-29 15:07:56-04
ASQ4126,2,2019-10-29 14:04:42-04,KIAH,KAEX,KHRL,2019-10-29 14:55:59-04,2019-10-29 15:46:01-04,2019-10-29 15:46:15-04
ASH6153,1,2019-10-29 14:09:04-04,KIAH,KSHV,KTPA,2019-10-29 14:56:01-04,,2019-10-29 15:09:41-04
SKW5502,2,2019-10-29 14:09:43-04,KIAH,KBTR,KPNS,2019-10-29 14:57:50-04,2019-10-29 16:19:49-04,2019-10-29 16:20:17-04
RPA3660,2,2019-10-29 14:54:59-04,KIAH,KLFT,KCLE,2019-10-29 14:58:56-04,2019-10-29 15:57:29-04,2019-10-29 15:57:44-04
SKW5379,1,2019-10-29 14:47:21-04,KIAH,KHOU,KBHM,2019-10-29 15:01:02-04,,2019-10-29 15:28:11-04
RPA3474,2,2019-10-29 14:19:17-04,KIAH,KCLL,KRDU,2019-10-29 15:01:48-04,2019-10-29 15:44:45-04,2019-10-29 15:45:24-04
UAL2084,1,2019-10-29 14:42:59-04,KIAH,KSAT,CYEG,2019-10-29 15:02:37-04,,2019-10-29 15:22:37-04
UAL1788,2,2019-10-29 14:09:48-04,KIAH,KMSY,KMCO,2019-10-29 15:04:19-04,2019-10-29 16:37:28-04,2019-10-29 16:37:39-04
RPA3707,2,2019-10-29 14:40:59-04,KIAH,KLFT,KXNA,2019-10-29 15:04:23-04,2019-10-29 21:47:15-04,2019-10-29 21:47:34-04
UAL2116,1,2019-10-29 14:22:54-04,KIAH,KHOU,KHOU,2019-10-29 15:04:30-04,,2019-10-29 15:22:44-04
UAL663,1,2019-10-29 14:18:46-04,KIAH,KMSY,KEWR,2019-10-29 15:09:59-04,,2019-10-29 15:22:37-04
DAL2152,1,2019-10-29 14:10:32-04,KIAH,KDFW,KATL,2019-10-29 15:14:43-04,,2019-10-29 15:36:22-04
